a foul mood;	eine üble Laune
a gust;	                        eine Bö, ein Windstoß
aloof;	abgehoben, unnahbar, weitab
amid;	                        inmitten, mitten drin
a prodigiuous failure;	ein ungeheurer Fehlschlag
a rave review;	                eine schwärmende Rezension                
arrant;	dreist, unverhüllt
a stout heart;	
atrocious;	
authoritative;	
avoirdupois;	                        gesetzliches englisches Handelsgewicht
bald;	
belated;	
benign;	                        freundlich, gütig, gutartig
bereft;	
bilious;	widerlich
bleak;	kahl, öde, trostlos
blithely;	                fröhlich, munter
boorish;	flegelhaft, rüpelhaft
brisk;	                                anregend, flink, flott, lebhaft, munter
brittle;	spröde, zerbrechlich, mürbe, morsch | reizbar
bustling;	belebt, betriebsam, hektisch
choppy;	                        abgehackt
clanking;	                klirrend
clannish;	stammesbewusst, zu einem Stamm gehörend
cliff-dwelling;	in den Felsen wohnend
coned;	                        kegelförmig
congenital;	angeboren, erblich bedingt
considerate;	                        aufmerksam, entgegenkommend, rücksichtsvoll, taktvoll
constrictive;	beschränkt, einschränkend
contemptuous;	                geringschätzig, verachtend
cozy;	                        behaglich, gemütlich
crafty;	listig, schlau, ausgekocht
cranky;	exzentrisch, launisch, reizbar, schrullig, skurril
crooked;	                gebeugt, gekrümmt, schräg | betrügerisch
curbstone;	                der Bordstein, der Randstein, Rinnstein
cutover;	                abgeholzt
defiant;	aufsässig, trotzig
despondent;	                mutlos
devoid;	leer
dingy;	                        anrüchig, armselig, schäbig, schmutzig, zweifelhaft
discordant;	                        uneinig
dour;	mürrisch
elusive;	                        flüchtig, schwer zu fassen, ausweichend
evasive;	                ausweichend
facetious;	                drollig, scherzhaft
fathomless;	                        abgrundtief, bodenlos, unergründlich
ferocious;	                grausam, grimmig, wild
fidgety;	                kribbelig, unruhig, zappelig
fiery;	                                feurig, glühend | aufwühlend
fleeting;	                        flüchtig, vergänglich | vorübereilend
flighty;	flatterhaft, flüchtig, gedankenlos, unbeständig
fluky;	unverdient, zufallsartig
forge work;	                Schmiedearbeit
forlorn;	einsam, verlassen, aussichtslos
foundry work;	                Gießarbeit
fragrant;	                duftend, wohlriechend
fraudulent;	arglistig, betrügerisch
frigid;	                        kalt, kühl, frigide
funky;	                        bange | irre | übelriechend | verängstigt | unkonventionell
futile;	vergeblich, sinnlos, aussichtslos
gabby;	geschwätzig
gaudy;	auffällig, bunt, knallig, grell
ghastly;	                        entsetzlich, grässlich, gespenstisch
gibbous;	                vorspringend
glibly;	schlagfertig
gorgeous;	                        großartig, hinreißend, wunderschön, prachtvoll
grating;	kratzend, schabend
gravelly;	                heiser | kieshaltig | rau
grungy;	dreckig, schäbig, schmutzig
haughty;	                        hochmütig, stolz
hideous;	                abscheulich, widerlich, hässlich
hindmost;	hinterer, letzter
hoarse;	                        heiser, rau
iconoclastic;	bilderstürmerisch
inadvertently;	irrtümlich, versehentlich, unbeabsichtigterweise
inchoate;	anfangend, beginnend, rudimentär, unfertig
inscrutable;	                undurchschaubar, unerforschlich, unergründlich
insufferable;	unausstehlich, unerträglich
interspersed with;	durchsetzt mit
involuted;	verwickelt
jaunty;	fesch, flott, lebhaft, munter, übermütig
jumpy;	                                kribbelig, nervös, schreckhaft
lacy;	                        spitzenartig
lavish;	freigebig, großzügig, verschwenderich
leeward;	                        leewärtig
licked;	                        abgeleckt
loath;	                        abgeneigt, unwillig
loathsome;	abscheulich, widerlich
ludicrous;	                aberwitzig, albern, irrsinnig, lächerlich
luminiferous;	lichterzeugend, lichtspendend
manic;	                                durchgeknallt, manisch
mean;	fies, garstig | ärmlich, erbärmlich
mottled;	                        marmoriert, scheckig, gefleckt, gesprenkelt
mucky;	                                dreckig, schmutzig
nerve-wracking;	                nervenaufreibend
nestled;	                angeschmiegt
noncommittal;	                        unverbindlich, nicht bindend, bündnisfrei
nuts and bolts;	                praxisbezogen
nutty;	                        bekloppt
oblique;	                schief, schräg | versteckt | verblümt | unaufrichtig
ominous;	ahnungsvoll, bedenklich, unheilvoll, ominös
omniscient;	                allwissend
on the spur of the moment;	ganz spontan, der Eingebung des Augenblicks folgend
overhauled engine;	                überholter Motor
petty;	belanglos, trivial, unbedeutend
phony;	                                erfunden, falsch, gefälscht, künstlich, unecht
pliant;	biegsam, geschmeidig, weich
quixotic;	edelmütig, ritterlich | schwärmerisch, weltfremd
rugged;	                        robust, stabil | wild, zerfurcht | holprig, rau
rumbling;	rumpelnd
ruthless;	mitleidlos, rücksichtslos, skrupellos
rutty;	                                ausgefahren
scant;	                                karg, kaum, knapp, ungenügend
scientific parlance;	                wissenschaftlicher Jargon
scornful;	höhnisch, verachtungsvoll, verächtlich
scowling;	missmutig
scrawny;	                dürr, schlank
screwed up;	                vermasselt
scrubby;	                        armselig, struppig, strubbelig
scuzzy;	ekelhaft, schäbig, schmutzig, widerlich
serenity;	                die Gelassenheit, Abgeklärtheit, heitere Gemütsruhe
serrated;	                        geriffelt, zackig, zersägt, gezackt, gezahnt
shady;	                        dubios, fragwürdig, schattig, zwielichtig
shoehorn;	der Schuhlöffel
slash-and-burn;	die Brandrodung
slender;	                        dürftig, gering, knapp, schlank, schmal
sloppy;	                        salopp, schlampig
slushy;	matschig, schmalzig, schmierig
smug;	blasiert, selbstgefällig
soberly;	                nüchtern
soggy;	                        durchnässt, feucht | sumpfig
sooty;	                        rußig
sore;	                        schlimm, schmerzhaft, weh, wund
speciously;	                        blendend, trügerisch
spic and span;	                blitzblank, blitzsauber, brandneu, wie aus dem Ei gepellt
spongy;	                        schwammig, schwammartig, locker, porös
stacked;	aufgestapelt, geschichtet, übereinander angeordnet
steadfastly;	unbeweglich
stiff;	                        steiff, starr, stabil, fest, hart, scharf
stubborn;	                dickköpfig, stur
stuffy;	stickig
stunted;	                verkrüppelt, in der Entwicklung gehemmt
subliminal;	                        unterbewusst, unterschwellig
sullen;	düster, mürrisch, trotzig, verbissen
swift;	                        eilig, flink | flüchtig | geschickt 
tart;	beißend, herb, sauer, scharf
terse;	                                gedrängt, knapp
the abutment;	die Stützmauer, der Stützpfeiler
the ailment;	                das Gebrechen, die Beschwerden, das Leiden
the apostasy;	der Abfall, die Abtrünnigkeit (religiös)
the arsonist;	der Brandstifter
the assemblage;	                        die Sammlung, Versammlung
the barge;	der Kahn, die Barkasse
the beacon;	das Lichtsignal, Leuchtfeuer, Blinklicht
the beatitude;	die Glückseligkeit, Seligkeit
the bedrock;	der Felsuntergrund, gewachsener Stein, der Untergrund
the berth;	der Ankerplatz | die Schlafkoje
the billboard;	                        das Anschlagbrett, die Plakattafel
