appalled;	entsetzt, erschreckt
back-stabbing;	hinterhältig
to take the bait;		der Versuchung erliegen
boisterous;	heftig, laut, ungestüm
botched;	vermurkst, verpfuscht
butch;		männlich (umspr., pej.)
camouflaged;	getarnt
candidly;	ehrlich, offen
cheesy;		billig, geschmacklos, kitschig (umgspr.) | käsig
to clench one's fist;	die Faust ballen
the cringing;	die Duckmäuserei
curmudgeon;	der Geizhals | Griesgram
detergent;	reinigend
disingenuous;	hinterlistig, unaufrichtig
divisive;	spaltend, Uneinigkeit schaffend
elusive;	flüchtig, schwer fassbar
excruciating;	entsetzlich, qualvoll, schmerzhaft
to fillet sth.;		etwas filetieren
the flake;		die Flocke
to floor sb.;	jmd. niederschlagen
frumpy;		altbacken, ohne jeden Schick
to gawk;	gaffen, klotzen
gorgeous;	großartig, hinreißend, prachtvoll
hapless;	unglücklich, unglückselig
indulgent;	duldsam, nachgiebig
insidious;	heimtückisch, hinterlistig
to inundate sth.;	etwas überschwemmen
to be mortified;	gedemütigt sein, sich schämen
nosy;		neugierig, naseweis
to notch;	kerben, einkerben
noxious;	giftig, schädlich, ungesund
obnoxious;	widerlich, widerwärtig
palpable;	augenfällig, fühlbar, greifbar
the perk;		die Vergütung (umgspr.)
the pimple;		der Pickel
pushy;		aggressiv, aufdringlich, penetrant
resentful;	nachtragend, grollend
rushed;		hastig
the shrew;	das zänkische Weib
smarmy;		kriecherisch
to be stirred up;	aufgebracht sein
to stir up a hornets' nest;	ein ein Wespennest stechen
tainted;	unrein, verdorben
tantamount to;	gleichbedeutend mit
the adage;	das Sprichwort
the aisle seat;		der Gangplatz (Flugzeug)
the appropriation;	die Aneigung, Inbesitznahme
the bunch;	das Bündel, der Strauß
the defiance;	die Missachtung
the elicitor;	der Auslöser (techn.)
the elusiveness;	die Undefinierbarkeit, Nichtkategorisierbarkeit
the expediency;	die Zweckmäßigkeit
the hue;	die Nuance, Farbschattierung
the jerk;	der Trottel, Narr, Dummkopf (ugsprl., pej.)
the normalcy;	die Normalität
the porch;	das Vordach
the redemption;	die Rückzahlung, Tilgung
the referral;	die Überweisung (Arzt)
the scrutiny;	die genaue Überprüfung, der forschende Blick
the slacker;	der Bummelant, Faulenzer, Nichtstuer
the treat;	der Genuss, die Leckerei, das Vergnügen
the twinge;	das Stechen, der stechende Schmerz
the weirdo;	der komische Kauz, Psychopath (pej.)
the zest;	der Reiz, das Vergnügen
to amend sth.;	etwas verändern, verbessern
to blare;	brüllen, schmettern
to crave sth.;	etwas begehren
to cringe;	erschaudern, zusammenzucken
to derail sth.;	etwas behindern, entgleisen lassen
to dodge sth.;	etwas ausweichen, sich vor etwas drücken
to dread sth.;	etwas fürchten
to exacerbate sth.;	etwas erschweren, verschlimmern
to garner;	sammeln
to gasp;	keuchen, schnaufen, japsen
to harass sb.;	jmd. drangsalieren, schikanieren
to have the gall;	die Frechheit besitzen
to hover;	in der Luft schweben
to huddle together;	sich zusammendrängen
to instill;	einträufeln
to lash out;	auskeilen, ausschlagen
to make amends;	Wiedergutmachung leisten, büßen
to mire sth.;	etwas beschmutzen
to molest sb.;	jmd. anpöbeln, belästigen | sexuell belästigen	
to numb;	betäuben
to ostracize sb;	jmd. ächten, ausschließen, verbannen
to perch;	sitzen
to peruse;	durchgehen, genau durchsehen
to plunk sth. down;	etwas hinknallen
to purge;	entleeren, löschen, reinigen,abführen
to quash sth.;	etwas unterdrücken
to quip;	witzeln
to replenish sth.;	etwas nachfüllen, wiederaufstocken | etwas aufarbeiten
to roam the neighborhood;	die Nachbarschaft durchstreifen
to scold;	schelten, ausschimpfen
to scoop sth. up;	etwas auftunken
to shirk sth.;	etwas umgehen, vermeiden, ausweichen
to shroud sth.;	etwas bedecken
to shuck;	auskernen, enthülsen
to snare sth.;	etwas in einer Falle fangen, etwas mit einer Schlinge fangen
to straddle;	grätschen | beiderseits von etwas liegen
to swagger away from sb.;	vom jemandem Weg stolzieren
to thrive;	gedeihen, florieren
to unravel sth.;	etwas enträseln, entwirren
to vest;	einkleiden | übertragen (ein Recht)
to vilify sb.;	jmd. herabwürdigen, schmähen
to wiggle;	schwänzeln, schlängeln, wackeln
to wince;	zucken
to yearn to do sth.;	sich danach sehnen etwas zu tun
unadorned;	schlicht, schmucklos, ungeschminkt
unrelenting;	unbeugsam, unerbittlich
visceral;	die Eingeweide betreffend
voluptuous;	lüstern, wollüstig | üppig, mit weiblichen Formen
