accabler;	bedrücken, niederdrücken
acerbe;		hart
à cet égard;	in dieser Beziehung
acquiescer;	sein Einverständnis erklären
âcre;		beißend, scharf, streng, sauer
actionner;	etw. antreiben, betätigen, in Gang setzen
adhérer à qc.;	an etwas anhaften, festkleben			
affectueux;	herzlich, liebevoll, zärtlich
ahurie;		verblüfft, verdatter, verdutzt
aigrelet;	säuerlich | piepsig			
à mi-voix;	halblaut
à mon avis;	meiner Meinung nach
arroser;	gießen
astiquer;	polieren
attristé;	betrübt, traurig
au chômage;	arbeitslos
avoir l'air contrit;	zerknirscht aussehen
bâillonner;	knebeln
blafard;	bleich, fahl, matt
boudeur;	schmollend
brandir qc.;	etwas androhen, mit etwas drohen | schwenken
buté;		bockig
cajoleur;	schmeichlerisch
chavirer qn.;	jmd. erschüttern, aufwühlen
chevrotant;	zitternd
claironnant;	schmetternd
claudicant;	hinkend
clément;	gnadenreich, gnädig, mild
clopiner;	humpeln
déchiré;	zerrissen
déconfit;	betreten, niedergeschlagen
décrocher qc.;		etw. abhängen, loshaken, etc. (z.B: Telefonhörer)
défier qc;	einer Sache trotzen
délectable;	köstlich, herzerfrischend
délice;		der Hochgenuss, die Wonne
demeurer;	sich aufhalten, bleiben, forbestehen
désemparé;	ratlos
déteniri qc.;	etwas besitzen
dévisser qc.;	etw. aufschrauben
dissuader qn. de qc.;	jmd. von etwas abbringen		
doré;		golden, honiggelb
durcir qc.;	etwas stählen, härten
éblouir qn.;	jmd. blenden, bezaubern
ébouriffé;	zerzaust
écarquiller;	die Augen aufreißen
émacié;		abgemagert
en dépit de qc.;	etw. zum Trotz
engouffrer;		fressen, schlingen, herunterschlingen
en guise de qc.;	als etwas, anstelle
en rester médusé;	erstarren, wie versteinert dastehen
épuisé;			ausgebrannt, marode | totmüde
être sur le qui-vive;		auf der Hut sein
être voué à l'échec;	zum Scheitern verurteilt sein
facétieux;		scherzhaft, spaßig
faire le guet;		Schmiere stehen
faire le malin;		den wilden Mann markieren, sich aufspielen, klug sein wollen	
fastidieux;		langweilig
flasque;		kraftlos, schlaff, schwach
frêle;			zart
froissé;		knitterig, zerknittert
fulgurant;	funkelnd | rasend | stechend
gambader;		herumhüpfen
gentiment;		liebenswürdig, nett
gigoter;		hampeln, herumzappeln
glousser;		glucksen, glucken, kichern
grignoter qc.;		etwas anknabbern
grimper;		hochklettern
gronder;		grollen, knurren
guetter qc.;		auf etwas lauern
haché;			gehackt, zerhackt | schraffiert
hagard;			scheu, verängstigt, verstört
hébété;			abgestumpft, entgeistert
immondices;		der Müll, Abfall
imperturbable;		unbeirrbar, unerschütterlich
indemne;		heil, unbeschadet, unverletzt
indicatif;		hinweisend
infime;			winzig
interloqué;		entsetzt, verdutzt, verwirrt
introuvable;		unauffindbar, unaufspürbar
irascible;		jähzornig
jacasser;		quasseln, schnattern
je m'en fiche;		das ist mir egal (fam.)
la baignade;		das Baden
la balançoire;		die Schaukel, Wippe
la bandoulière;		der Schulterriemen
la benne;		der Tragekorb
la bévue;		der Fehler, Missgriff, das Versehen
la bile; 	die Galle
la blague;	der Ulk, Witz
la bonbonne;		Korbflasche, Glasballon
la bourde;		der Schnitzer, grober Fehler
la boursouflure;	der Schwulst| die Großsprecherei
la camisole;	das Wams
la carapace;	der Panzer (von Tieren)
la clandestinité;	der Untergrund (das Verborgene)
la cloison;		die Zwischenwand	
la clôture;		die Einfriedung
l'acolyte;		der Komplize
la commisération;	das Mitleid
la corbeille;		Papierkorb
la couette ;	der Zopf
la couleuvre;		die Natter
la crotte de nez;	der Popel (fam.)
la crotte;		der Kot, die Kacke (fam.)
la déférence;		die Achtung, Ehrerbietung
la ferveur;		die Inbrunst, Leidenschaftlichkeit
la ficelle;		der Faden, die Schnur, die Kordel
la figurine;		das Figürchen, die Statuette
la fosse;		die Grube | der Zwinger
la fougue;		der Schwung, das Ungestüm
la fouine;		der Steinmarder
la frange;		der Pony
la fusée;		die Rakete
la gourgandine;	das Frauenzimmer
la grille;		das Gitter, der Feuerrost
la hargne;		die Bissigkeit, Streitsucht
la liasse;		das Bündel
la lisière;		der Waldrand
l'allure (f);		der Gang, die Gangart, das Tempo
la loutre;		der Otter
la mèche;		die Strähne
la miche;	der Brotlaib
la monture;		das Reittier | auch die Fassung, das Gestell, die Montur
la mousse de savon;	der Seifenschaum
la nausée;		der Brechreiz, Ekel
l'anse (f);	der Henkel (Tasse)
la nuée;		der Schwarm
la perruche;		der Sittich
lapon;		lappländisch
la prise de courant;	die Steckdose
la prouesse;		die Heldentat, Spitzenleistung
la rallonge;		die Verlängerung
la rame;		die Wagenreihe | auch Ruder, Bohnenstange
la rancœur;		der Groll
l'arbalète (f);		die Armbrust
l'arcade (f);		der Bogengang, die Arkade
l'ardeur (f);		die Eifersucht, Sehnsucht
la rescousse;		die Hilfe
la réverbère;		die Straßenlaterne
la rhubarbe;		der Rhabarber
l'ascendance (f);	der Vorfahr
la sieste;		der Mittagsschlaf
la sommation;		das Mahnschreiben
l'astuce (f);		die Schlauheit, Findigkeit
la tanière;		die Höhle, das Schlupfloch
la tige;		der Halm, der Stängel
l'aubaine (f);	der Glücksfall
l'auvent (m);		das Vordach
la vedette;	der Star, die Diva
