abbracciare qn;	jmd. umarmen
a braccetto;	Arm in Arm
accennare qc.;	etwas andeuten, auf etwas anspielen
accentuato;	ausgeprägt, betont, markant
affannare qn.;	jmd. ängstigen, bekümmern, beunruhigen
aggrappare qc.;	sich an etwas klammern, etwas umklammern
alpestre;	alpin, bergig
andare a parare;	hinauswollen, hinzielen
arrampicarsi;	hinauffahren
arrancare;	hinken, sich schleppen
a scosse;	ruckweise, stoßweise
attendibile;	glaubhaft, glaubwürdig, zuverlässig
autorevole;	angesehen, einflussreich, gebieterisch
bocciare qn;	jmd. durchfallen lassen
bocciato;	durchgefallen
borghese;	bürgerlich, kleinbürgerlich
cadaverico;	totenbleich
cavarsi qc.;	etwas abnehmen, ausziehen
ciò;	das, dies, was (Präp.)
commiato;	der Abschied, Abschiedsgruß, Abgesang | der Urlaub
consueto;	gewöhnlich, gewohnt
costeggiare qc.;	etwas entlanggehen
didascalico;	belehrend, lehrhaft, didaktisch
ergere qc.;	etwas emporheben, errichten
erto;	steil
esuberante;	übermäßig, überschäumend
feritoia;	der Schlitz, der Sehschlitz
grossolano;	deftig, derb, grob
guaire;	winseln (Hund)
i cespugli;	das Gebüsch
idroelettrica;	hydroelektrisch
il affidamento;	das Vertauen
il alloggio;	die Bleibe, Unterkunft
il altipiano;	die Hochebene
il andamento;	der Fortgang, Verlauf
il angolo retto;	der rechte Winkel
il avvistamento;	die Sichtung
il boscaiolo;	der Förster, Waldarbeiter, Holzfäller
il cacciatore;	der Jäger
il cantiere;	der Bauplatz, die Baustelle
il casottino;	das sehr kleine Häuschen, die kleine Hütte
il ciglio;	der Rand
il clacson;	die Hupe
il dislivello;	der Höhenunterschied
il filo spinato;	der Stacheldraht
il genio;	das Genie, der Geist
il impaccio;	das Hindernis, die Verlegenheit
il impegno;	die Verabredung, Verpflichtung
il incanto;	der Zauber, die Zauberei
il legame;	das Band, die Bindung | die Fessel
il ospite;	der Gast, Gastgeber
il ossequio;	die Ehrfurcht, Ehrerbietung, Hochachtung
il patema;	der Kummer, die Sorge
il piantone;	die Wache
il precipizio;	der Abgrund
il puntino;	der Tüpfel
il quale;	derjenige, diejenige, dasjenige
il rettilineo;	die Gerade, gerade Strecke
il riquadro;	das Paneel
il ritratto;	das Bild, Bildnis, Porträt
il sdegno;	die Empörung | der Unwille | die Verachtung
il strapiombo;	der Felsvorsprung
il tenente;	der Leutnant
il tranello;	die Falle, der Hinterhalt
il vallone;	die Talmulde
il volpino;	der Spitz (Hund)
imbarazzato;	befangen, verlegen
innalzare;	erheben, erhöhen
innegabile;	unbestreitbar, unleugbar
inspiegabile;	unerklärlich
intanto;	indessen, inzwischen, währenddessen
intravedere qc.;	etwas ahnen
inverosimile;	unwahrscheinlich
l'angustia (f);	die Bedrängnis, Sorge
l'anticamera (f);	der Vorraum, das Vorzimmer
l'anzianità (f);	das Alter, Dienstalter
l'apprensione (f);	Die Sorge, Besorgnis
la balaustra;	die Balustrade, Brüstung, das Geländer
la baraonda;	großes Durcheinander, das Gewirr
la caligine;	der Dunstnebel
la carogna;	das Aas, der Kadaver | das Biest, Luder
la cautela;	die Vorsicht, Vorsichtsmaßnahme
la cifra;	die Ziffer, Chiffre, Geheimschrift
la coercizione;	die Nötigung, der Zwang
la contrada;	die Straße, die Gegend, das Gefilde
la cospicuo;	ansehnlich, beträchtlich, stattlich
la deferenza;	die Ehererbietung, Hochachtung
la diavoleria;	die Teufelei
la diga;	der Damm, die Talsperre
la fazione;	die Gruppe
la flemma;	das Phlegma
la frana;	der Misserfolg | der Erdrutsch
la giogaia;	die Bergkette, der Höhenzug
la gobba;	der Buckel, Höcker
la inezia;	die Belanglosigkeit, Kleinigkeit, Kinderei
la mensa;	die Mensa, Kantine
la muraglia cinese;	die Chinesische Mauer
la muraglia;	die Mauer, das Mauerwerk
la panca;	die Bank, Sitzbank
la pattuglia;	die Patrouille, Streife
la resina;	das Harz
la rupe;	der Fels
la scrivania;	der Schreibtisch
la sentinella;	die Wache, der Wachtposten
la sollecitazione;	die Inanspruchnahme, Beanspruchung
la teleferica;	die Seilschwebebahn
la tempestività;	die Rechtzeitigkeit
la villegiatura;	der Urlaub, der Urlaubgsort
l'evenienza;	die Eventualität, Gelegenheit
lo sbarramento;	die Absperrung
lo scavo;	die Aushebung
lo scopo;	das Ziel, der Zweck
lo scrittoio;	der Schreibtisch (2)
lo smarrimento;	die Verwirrung, Fassungslosigkeit
lo spiazzo;	die Lichtung, offener Platz
lo stento;	die Entbehrung
l'uscio;	die Tür (m)
lusingare qn;	jmd. schmeicheln
macché!;	Ach was!
malinconico;	melancholisch, schwermütig
massiccio;	bullig, klobig, klotzig
mescolare;	mischen
non badare a qn.;	jmd. übersehen
nonostante;	obgleich, obwohl, trotz
obbedire a qn.;	jmd. gehorchen
oltremodo;	äußerst, überaus
ormai;	bereits, jetzt, nun, schon
paradosso;	paradox
pazzesco;	absurd, närrisch, verrückt
petulante;	anmaßend, aufdringlich, lästig
placido;	gemächlich, ruhig, sanft
premura;	die Eile | Sorgfalt | Zuvorkommenheit
prendere qn. sotto gamba;	jmd. geringschätzen
pressappoco;	beinahe
provenire da qc.;	aus etwas herkommen, aus etwas stammen
pusillanime;	feige
qua;	hier, hierher
quale;	als, welcher, der, die, das
rasserenare qn;	jmd aufheitern
reticente;	verschwiegen
rinnovare qn;	etwas erneuern, renoviere, umbauehn
salubre;	gesund, heilsam, bekömmlich
sbalordito;	verblüfft, verdutzt
sboccare;	einmünden
sbottonare qc.;	etwas abknöpfen, aufknöpfen
sedentario;	sesshaft, bewegungsfaul, fest
sfiorire;	verblühen
sgomberare qc.;	etwas abräumen, ausräumen
sistemare qn;	jmd. unterbringen
smaniare;	rasen, toben
smobilitare qc.;	etwas demobilisieren
snello;	mager, schlank
sodo;	drall, hart, knackig, straff, prall
sovrastante;	drohend, emporragend
spavaldo;	draufgängerisch, dreist, kühn
subentrato;	eintretend
superare qc.;	etwas übertreffen, bewältigen, überbrücken
tagliato;	gekappt, geschnitten, abgeschnitten
talora;	bisweilen, manchmal, zuweil
triplice;	dreifach
una decina;	etwa zehn
