accadere;	sich ereignen, geschehen
accaduto;	geschehen
accanto;	angrenzend, anliegend
accartocciarsi;	sich zusammenrollen, sich kräuseln
acchiappare qc.;	etwas abfangen, aufschnappen, fangen
acconsentire a qc.;	etwas erlauben, in etwas einwilligen
acquoso;	wässrig, wasserhaltig
additare qc.;	auf etwas zeigen, auf etwas hinweisen
addosso;	an sich, auf sich, in sich, am Leib
adesivo;	klebend
afferrare qc.;	etwas erfassen, ergreifen, anfassen
alquanto;	etwas, ein wenig
a malapena;	kaum, mühsam
ammattito;	übergeschnappt, verückt geworden
ammazzare;	töten, totschlagen, umbringen
ammuffito;	schimmelig, verschimmelt
annuire;	nicken, einwilligen
annusare qc.;	etwas beschnüffeln, beschnuppern
ansimando;	keuchend, schnaufend
anziano;	alt, älter
anzi;	besser noch, sogar | im Gegenteil, viel mehr
arato;	gepflügt
arricciare qc.;	etwas kräuseln, zusammenziehen, wickeln
arrossare qc.;	etwas röten, rot werden lassen
aspro;	erbittert, hart, grob
assomigliare qc.;	etwas vergleichen | ähnlich machen
assorto;	geistesabwesend, gedankenverloren
attardare qc.;	etwas aufhalten, verlangsamen
attorno;	herum, rundherum. umstehend
a un tratto;	plötzlich
autorevole;	glaubwürdig | maßgebend, einflussreich
azzardare qc.;	etwas riskieren
balzare;	emporschnellen, hochspringen
barattare qc.;	etwas tauschen, umtauschen
bisbigliare;	flüstern
bloccare qc.;	etwas blockieren | abbrechen | abfangen | aufhalten | ...
bofonchiare;	meckern, murren
borbottare;	brummen, knurren
brindare;	anstoßen, ein Prosit ausbringen
burbero;	barsch, griesgrämig, mürrisch
bussare;	anklopfen, klopfen, pochen
cacciare;	hineindrängen
canticchiare;	vor sich hinsingen, trällern
chiazzato;	gefleckt, gesprenkelt
chinare;	beugen, neigen
chinare;	beugen, senken
ciononostante;	trotz alledem, dennoch, dessen ungeachtet
colto;	ertappt, erwischt | gebildet
corre voce che;	es geht das Gerücht um, dass...
corvino;	rabenschwarz
crollare;	einfallen, einstürzen, umfallen
cupo;	dumpf, dunkel, finster
da cui;	von denen
deglutire;	schlucken, verschlucken
dileguare qc.;	etwas schmelzen lassen
diroccato;	baufällig, verfallen
dritta;	gerade
ecco fatto!;	erledigt! fertig!
ed;	und (vor Wörtern, die mit e oder anderen Vokalen beginnen)
emanare;	ausstrahlen
emanare qc.;	etwas ausstrahlen, ausströmen
eppure;	dennoch, trotzdem
esterrefatto;	bestürzt, erschrocken
far finta che;	so tun als ob
farfugliare qc.;	etwas murmeln
far l'occhiolino a qn.;	jmd. zublinzeln
fastidioso;	lästig
fatidico;	prophetisch, schicksschwer
fiabesco;	märchenhaft
flaccido;	matt, schlaff, schlapp
folto;	dicht
frainteso;	missverstanden
frignare;	quengeln
frustare qc.;	jmd. geißeln, peitschen
furibondo;	rabiat, rasend, wütend
gaio;	fröhlich, lustig, munter
già;	bereits, schon, vormals
giallastro;	gelblich
gironzolare;	bummeln, flanieren, schlendern
giunto;	verbunden, vereint | gefaltet
gli zii;	Onkel und Tante
gorgogliare;	gurgeln, brodeln
grassoccio;	dicklich, rundlich
guardingo;	bedächtig, behutsam
i coniugi;	das Ehepaar
i guai;	die Schwulitäten
il bagliore;	der Lichtschein, Schimmer
il bidone dei rifiuti;	die Mülltonne
il boato;	das Dröhnen, Donnern
il bossolo;	die Büchse
il brivido;	der Schauder, das Prickeln,
il calcio;	der Fußtritt | der Fußball
il calicie;	der Becher
il carattere;	der Charakter
il castigo;	die Strafe
il celeste;	das Himmelblau
